uid,participant_id,video_id,narration,start_timestamp,stop_timestamp,start_frame,stop_frame,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,grid_location,prior_grid ,lhand_vposition ,lhand_hposition ,rhand_vposition ,rhand_hposition ,hand in use ,
6385,P03,P03_03,pick up clothes,00:50.5,00:51.8,3030,3109,pick-up,0,clothes,130,['clothes'],[130],,,,,,,,
6386,P03,P03_03,put clothes on hanger,00:54.3,01:01.8,3258,3706,put,1,clothes,130,"['clothes', 'hanger']","[130, 0]",,,,,,,,
6387,P03,P03_03,pick up bag,01:03.6,01:04.9,3815,3895,pick-up,0,bag,20,['bag'],[20],,,,,,,,
6388,P03,P03_03,pick up plate,01:06.1,01:07.0,3964,4018,pick-up,0,plate,4,['plate'],[4],,,,,,,,
6389,P03,P03_03,place plate,01:07.7,01:08.8,4063,4128,place,1,plate,4,['plate'],[4],,,,,,,,
6390,P03,P03_04,put bags,00:03.2,00:08.1,194,486,put,1,bag,20,['bag'],[20],,,,,,,,
6391,P03,P03_04,take squash,00:06.5,00:07.6,390,454,take,0,squash,99,['squash'],[99],,,,,,,,
6392,P03,P03_04,put squash,00:07.6,00:08.6,454,515,put,1,squash,99,['squash'],[99],,,,,,,,
6393,P03,P03_04,take salmon,00:08.9,00:09.8,537,588,take,0,salmon,124,['salmon'],[124],,,,,,,,
6394,P03,P03_04,put salmon,00:09.7,00:10.6,583,635,put,1,salmon,124,['salmon'],[124],,,,,,,,
6395,P03,P03_04,take chicken,00:10.8,00:13.1,651,784,take,0,chicken,62,['chicken'],[62],,,,,,,,
6396,P03,P03_04,put chicken,00:13.3,00:14.5,799,870,put,1,chicken,62,['chicken'],[62],,,,,,,,
6397,P03,P03_04,take can,00:13.9,00:15.1,834,906,take,0,can,87,['can'],[87],,,,,,,,
6398,P03,P03_04,put can,00:15.3,00:16.3,916,975,put,1,can,87,['can'],[87],,,,,,,,
6399,P03,P03_04,take squash,00:17.2,00:18.5,1032,1111,take,0,squash,99,['squash'],[99],,,,,,,,
6400,P03,P03_04,take salmon,00:18.7,00:19.4,1121,1165,take,0,salmon,124,['salmon'],[124],,,,,,,,
6401,P03,P03_04,open fridge,00:20.2,00:21.6,1212,1294,open,2,fridge,10,['fridge'],[10],,,,,,,,
6402,P03,P03_04,put squash,00:22.7,00:23.6,1363,1416,put,1,squash,99,['squash'],[99],,,,,,,,
6403,P03,P03_04,put salmon,00:23.4,00:24.5,1405,1469,put,1,salmon,124,['salmon'],[124],,,,,,,,
6404,P03,P03_04,close fridge,00:24.4,00:25.3,1466,1518,close,3,fridge,10,['fridge'],[10],,,,,,,,
6405,P03,P03_04,take squash,00:25.8,00:26.4,1546,1585,take,0,squash,99,['squash'],[99],,,,,,,,
6406,P03,P03_04,open cupboard,00:27.1,00:28.1,1627,1685,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
6407,P03,P03_04,put squash,00:28.2,00:29.4,1691,1762,put,1,squash,99,['squash'],[99],,,,,,,,
6408,P03,P03_04,close cupboard,00:29.2,00:29.8,1749,1788,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
6409,P03,P03_04,take chicken,00:30.0,00:31.0,1802,1862,take,0,chicken,62,['chicken'],[62],,,,,,,,
6410,P03,P03_04,put chicken,00:30.1,00:32.4,1806,1941,put,1,chicken,62,['chicken'],[62],,,,,,,,
6411,P03,P03_04,open fridge,00:31.1,00:31.9,1868,1914,open,2,fridge,10,['fridge'],[10],,,,,,,,
6412,P03,P03_04,close fridge,00:32.1,00:33.3,1929,1996,close,3,fridge,10,['fridge'],[10],,,,,,,,
6413,P03,P03_04,take food,00:35.0,00:35.7,2098,2143,take,0,food,37,['food'],[37],,,,,,,,
6414,P03,P03_04,put food,00:35.8,00:36.4,2149,2185,put,1,food,37,['food'],[37],,,,,,,,
6415,P03,P03_04,take onions,00:37.8,00:38.8,2270,2329,take,0,onion,13,['onion'],[13],,,,,,,,
6416,P03,P03_04,put onions,00:38.9,00:39.7,2331,2385,put,1,onion,13,['onion'],[13],,,,,,,,
6417,P03,P03_04,take crisps,00:39.1,00:39.7,2343,2383,take,0,crisp,279,['crisp'],[279],,,,,,,,
6418,P03,P03_04,open cupboard,00:40.9,00:41.7,2452,2502,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
6419,P03,P03_04,put crisps,00:41.8,00:43.9,2508,2634,put,1,crisp,279,['crisp'],[279],,,,,,,,
6420,P03,P03_04,put food,00:45.7,00:47.4,2743,2845,put,1,food,37,['food'],[37],,,,,,,,
6421,P03,P03_04,take sweet corn,00:49.1,00:49.9,2948,2991,take,0,corn:sweet,161,['corn:sweet'],[161],,,,,,,,
6422,P03,P03_04,close cupboard,00:52.6,00:53.6,3156,3219,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
6423,P03,P03_04,open freezer,00:53.6,00:54.2,3217,3249,open,2,freezer,112,['freezer'],[112],,,,,,,,
6424,P03,P03_04,pull out drawer,00:54.5,00:55.6,3272,3333,pull-out,54,drawer,9,['drawer'],[9],,,,,,,,
6425,P03,P03_04,put sweet corn,00:56.5,00:57.3,3388,3435,put,1,corn:sweet,161,['corn:sweet'],[161],,,,,,,,
6426,P03,P03_04,close drawer,00:58.0,00:58.6,3480,3515,close,3,drawer,9,['drawer'],[9],,,,,,,,
6427,P03,P03_04,close freezer,00:58.9,00:59.4,3532,3562,close,3,freezer,112,['freezer'],[112],,,,,,,,
6428,P03,P03_04,take bag,01:02.1,01:03.7,3727,3823,take,0,bag,20,['bag'],[20],,,,,,,,
6429,P03,P03_04,fold bag,01:04.8,01:16.5,3887,4588,fold,46,bag,20,['bag'],[20],,,,,,,,
6430,P03,P03_04,take bag,01:21.7,01:23.1,4899,4987,take,0,bag,20,['bag'],[20],,,,,,,,
6431,P03,P03_04,take bag,01:22.2,01:24.3,4932,5059,take,0,bag,20,['bag'],[20],,,,,,,,
6432,P03,P03_04,fold bag,01:23.2,01:30.1,4993,5406,fold,46,bag,20,['bag'],[20],,,,,,,,
6433,P03,P03_04,take box,01:30.2,01:31.9,5412,5515,take,0,box,39,['box'],[39],,,,,,,,
6434,P03,P03_04,put box,01:31.9,01:32.7,5511,5565,put,1,box,39,['box'],[39],,,,,,,,
6435,P03,P03_04,take knife sharpener,01:43.4,01:44.3,6203,6259,take,0,sharpener:knife,285,['sharpener:knife'],[285],,,,,,,,
6436,P03,P03_04,open drawer,01:45.6,01:47.1,6334,6426,open,2,drawer,9,['drawer'],[9],,,,,,,,
6437,P03,P03_04,take knife,01:48.0,01:48.9,6477,6535,take,0,knife,5,['knife'],[5],,,,,,,,
6438,P03,P03_04,close drawer,01:48.7,01:49.5,6523,6571,close,3,drawer,9,['drawer'],[9],,,,,,,,
6439,P03,P03_04,sharpen knife,01:50.1,02:03.0,6608,7380,sharpen,27,knife,5,['knife'],[5],,,,,,,,
6440,P03,P03_04,continue sharpening knife,02:03.1,02:10.7,7386,7844,sharpen,27,knife,5,['knife'],[5],,,,,,,,
6441,P03,P03_04,put knife sharpener back,02:10.3,02:11.2,7817,7870,put,1,sharpener:knife,285,['sharpener:knife'],[285],,,,,,,,
6442,P03,P03_04,take kitchen towel,02:12.8,02:16.3,7965,8175,take,0,towel:kitchen,66,['towel:kitchen'],[66],,,,,,,,
6443,P03,P03_04,clean knife,02:17.0,02:21.9,8220,8511,clean,4,knife,5,['knife'],[5],,,,,,,,
6444,P03,P03_04,put towel in bin,02:23.1,02:24.0,8583,8637,put,1,towel,65,"['towel', 'bin']","[65, 25]",,,,,,,,
6445,P03,P03_04,put knife,02:24.4,02:24.9,8662,8696,put,1,knife,5,['knife'],[5],,,,,,,,
6446,P03,P03_04,open cupboard,02:25.2,02:26.2,8712,8772,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
6447,P03,P03_04,take cutting board,02:26.0,02:27.3,8760,8835,take,0,board:cutting,19,['board:cutting'],[19],,,,,,,,
6448,P03,P03_04,put cutting board,02:27.6,02:28.9,8857,8932,put,1,board:cutting,19,['board:cutting'],[19],,,,,,,,
6449,P03,P03_04,open fridge,02:29.5,02:30.7,8971,9041,open,2,fridge,10,['fridge'],[10],,,,,,,,
6450,P03,P03_04,pull out drawer,02:30.4,02:31.5,9025,9092,pull-out,54,drawer,9,['drawer'],[9],,,,,,,,
6451,P03,P03_04,close fridge,02:31.8,02:32.3,9105,9138,close,3,fridge,10,['fridge'],[10],,,,,,,,
6452,P03,P03_04,take onion,02:34.3,02:34.9,9256,9295,take,0,onion,13,['onion'],[13],,,,,,,,
6453,P03,P03_04,take knife,02:34.7,02:35.2,9282,9312,take,0,knife,5,['knife'],[5],,,,,,,,
6454,P03,P03_04,cut onion,02:37.1,02:53.3,9423,10398,cut,5,onion,13,['onion'],[13],"(4,1)",,0,0,0,0,both,
6455,P03,P03_04,take bin,02:55.9,02:57.1,10554,10626,take,0,bin,25,['bin'],[25],,,,,,,,
6456,P03,P03_04,take top off bin,02:56.7,02:58.0,10600,10683,take,0,top,78,"['top', 'bin']","[78, 25]",,,,,,,,
6457,P03,P03_04,cut onions in bin,03:04.1,03:06.3,11048,11175,cut,5,onion,13,"['onion', 'bin']","[13, 25]",,,,,,,,
6458,P03,P03_04,peel onion,03:10.5,03:18.2,11430,11895,peel,16,onion,13,['onion'],[13],"(4,1)","(4,1)",0,0,0,0,both,
6459,P03,P03_04,put peel in bin,03:18.3,03:19.1,11901,11946,put,1,peel,68,"['peel', 'bin']","[68, 25]",,,,,,,,
6460,P03,P03_04,peel onion,03:20.4,03:39.1,12022,13145,peel,16,onion,13,['onion'],[13],"(4,1)","(4,1)",0,0,0,0,both,
6461,P03,P03_04,peel onion,03:30.2,03:39.4,12610,13162,peel,16,onion,13,['onion'],[13],"(4,1)","(4,1)",0,0,0,0,both,
6462,P03,P03_04,put peel in bin,03:39.7,03:40.8,13185,13245,put,1,peel,68,"['peel', 'bin']","[68, 25]",,,,,,,,
6463,P03,P03_04,chop onion,03:41.8,03:54.1,13305,14047,chop,5,onion,13,['onion'],[13],"(4,1)","(4,1)",-1,-1,0,0,right,
6464,P03,P03_04,slice onion,03:50.4,04:06.3,13827,14777,slice,5,onion,13,['onion'],[13],"(4,1)","(4,1)",-1,-1,0,0,right,
6465,P03,P03_04,open cupboard,04:08.5,04:09.2,14913,14952,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
6466,P03,P03_04,take bowl,04:09.3,04:10.3,14961,15015,take,0,bowl,6,['bowl'],[6],,,,,,,,
6467,P03,P03_04,close cupboard,04:10.3,04:10.8,15021,15051,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
6468,P03,P03_04,put bowl,04:11.7,04:12.4,15103,15143,put,1,bowl,6,['bowl'],[6],,,,,,,,
6469,P03,P03_04,put onion in bin,04:14.4,04:15.6,15265,15334,put,1,onion,13,"['onion', 'bin']","[13, 25]",,,,,,,,
6470,P03,P03_04,transfer onions,04:15.6,04:33.7,15334,16424,transfer,9,onion,13,['onion'],[13],"(4,1)",,-1,-1,0,0,right,
6471,P03,P03_04,put knife,04:34.3,04:35.3,16456,16519,put,1,knife,5,['knife'],[5],,,,,,,,
6472,P03,P03_04,take onion,04:35.5,04:36.2,16530,16573,take,0,onion,13,['onion'],[13],"(4,1)","(4,1)",-1,-1,0,0,right,
6473,P03,P03_04,cut onion,04:36.6,04:44.5,16594,17072,cut,5,onion,13,['onion'],[13],"(4,1)","(4,1)",-1,-1,0,0,right,
6474,P03,P03_04,peel onion,04:45.8,04:46.3,17146,17176,peel,16,onion,13,['onion'],[13],"(4,1)","(4,1)",0,0,0,0,both,
6475,P03,P03_04,put peel in bin,04:46.7,04:47.6,17201,17255,put,1,peel,68,"['peel', 'bin']","[68, 25]",,,,,,,,
6476,P03,P03_04,peel onion,04:48.6,05:03.2,17317,18194,peel,16,onion,13,['onion'],[13],"(4,1)","(4,1)",0,0,0,0,both,
6477,P03,P03_04,put peel in bin,05:03.9,05:04.8,18237,18290,put,1,peel,68,"['peel', 'bin']","[68, 25]",,,,,,,,
6478,P03,P03_04,pick up onion,05:05.4,05:06.3,18322,18379,pick-up,0,onion,13,['onion'],[13],,,,,,,,
6479,P03,P03_04,peel onion,05:18.1,05:25.2,19087,19515,peel,16,onion,13,['onion'],[13],"(4,1)","(4,1)",0,0,0,0,both,
6480,P03,P03_04,put peel in bin,05:25.3,05:26.1,19515,19567,put,1,peel,68,"['peel', 'bin']","[68, 25]",,,,,,,,
6481,P03,P03_04,slice onion,05:34.8,05:44.4,20085,20663,slice,5,onion,13,['onion'],[13],"(4,1)","(4,1)",-1,-1,0,0,right,
6482,P03,P03_04,slice onion,05:44.5,05:47.7,20667,20859,slice,5,onion,13,['onion'],[13],"(4,1)","(4,1)",-1,-1,0,0,right,
6483,P03,P03_04,dice onion,05:48.2,06:01.5,20892,21687,dice,5,onion,13,['onion'],[13],"(4,1)","(4,1)",-1,-1,0,0,right,
6484,P03,P03_04,slice onion,06:05.6,06:18.1,21933,22683,slice,5,onion,13,['onion'],[13],"(4,1)","(4,1)",-1,-1,0,0,right,
6485,P03,P03_04,slice onion,06:18.0,06:20.4,22678,22821,slice,5,onion,13,['onion'],[13],"(4,1)","(4,1)",-1,-1,0,0,right,
6486,P03,P03_04,dice onion,06:23.5,06:34.8,23010,23685,dice,5,onion,13,['onion'],[13],"(4,1)","(4,1)",-1,-1,0,0,right,
6487,P03,P03_04,throw onion in bin,06:34.3,06:45.1,23661,24306,throw,8,onion,13,"['onion', 'bin']","[13, 25]",,,,,,,,
6488,P03,P03_04,clean knife,06:45.7,06:47.2,24342,24432,clean,4,knife,5,['knife'],[5],,,,,,,,
6489,P03,P03_04,open cupboard,06:55.2,06:56.0,24914,24960,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
6490,P03,P03_04,take bowl,06:56.2,06:57.9,24973,25074,take,0,bowl,6,['bowl'],[6],,,,,,,,
6491,P03,P03_04,close cupboard,06:57.2,06:58.2,25029,25089,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
6492,P03,P03_04,put bowl,06:57.3,06:58.1,25038,25083,put,1,bowl,6,['bowl'],[6],,,,,,,,
6493,P03,P03_04,transfer onion,07:01.4,07:12.5,25282,25953,transfer,9,onion,13,['onion'],[13],,,,,,,,
6494,P03,P03_04,put board,07:12.4,07:13.6,25941,26016,put,1,board,19,['board'],[19],,,,,,,,
6495,P03,P03_04,put bin,07:17.2,07:19.2,26232,26352,put,1,bin,25,['bin'],[25],,,,,,,,
6496,P03,P03_04,put lid on bin,07:19.5,07:21.1,26368,26463,put,1,lid,11,"['lid', 'bin']","[11, 25]",,,,,,,,
6497,P03,P03_04,open fridge,07:23.1,07:23.8,26587,26630,open,2,fridge,10,['fridge'],[10],,,,,,,,
6498,P03,P03_04,take chicken,07:24.3,07:25.0,26661,26698,take,0,chicken,62,['chicken'],[62],"(0,1)",,0,0,-1,-1,left,
6499,P03,P03_04,close fridge,07:24.9,07:25.4,26691,26721,close,3,fridge,10,['fridge'],[10],,,,,,,,
6500,P03,P03_04,put chicken,07:27.0,07:27.7,26817,26862,put,1,chicken,62,['chicken'],[62],,,,,,,,
6501,P03,P03_04,open drawer,07:28.8,07:30.4,26930,27026,open,2,drawer,9,['drawer'],[9],,,,,,,,
6502,P03,P03_04,get knife,07:30.3,07:32.0,27018,27117,get,0,knife,5,['knife'],[5],,,,,,,,
6503,P03,P03_04,close drawer,07:31.7,07:32.6,27103,27158,close,3,drawer,9,['drawer'],[9],,,,,,,,
6504,P03,P03_04,open chicken,07:32.6,07:37.3,27159,27437,open,2,chicken,62,['chicken'],[62],"(4,1)",,-1,-1,0,0,right,
6505,P03,P03_04,put chicken on cutting board,07:38.1,07:40.2,27487,27614,put,1,chicken,62,"['chicken', 'board:cutting']","[62, 19]",,,,,,,,
6506,P03,P03_04,slice chicken,07:43.9,07:55.2,27836,28512,slice,5,chicken,62,['chicken'],[62],"(4,1)","(4,1)",-1,-1,0,0,right,
6507,P03,P03_04,dice chicken,07:55.6,08:03.7,28536,29021,dice,5,chicken,62,['chicken'],[62],"(4,1)","(4,1)",-1,-1,0,0,right,
6508,P03,P03_04,slice chicken,08:05.6,08:10.0,29139,29398,slice,5,chicken,62,['chicken'],[62],"(4,1)","(4,1)",-1,-1,0,0,right,
6509,P03,P03_04,cut chicken,08:08.7,08:13.7,29320,29622,cut,5,chicken,62,['chicken'],[62],"(4,1)","(4,1)",-1,-1,0,0,right,
6510,P03,P03_04,put chicken in bin,08:13.8,08:15.5,29629,29731,put,1,chicken,62,"['chicken', 'bin']","[62, 25]",,,,,,,,
6511,P03,P03_04,slice chicken,08:18.2,08:22.3,29892,30140,slice,5,chicken,62,['chicken'],[62],"(4,1)","(4,1)",-1,-1,0,0,right,
6512,P03,P03_04,dice chicken,08:23.8,08:32.1,30230,30724,dice,5,chicken,62,['chicken'],[62],"(4,1)","(4,1)",-1,-1,0,0,right,
6513,P03,P03_04,wash hands,08:36.9,08:44.9,31013,31493,wash,4,hand,12,['hand'],[12],,,,,,,,
6514,P03,P03_04,get soap,08:47.3,08:48.6,31637,31715,get,0,soap,98,['soap'],[98],,,,,,,,
6515,P03,P03_04,wash hands,08:52.5,09:04.4,31948,32665,wash,4,hand,12,['hand'],[12],,,,,,,,
6516,P03,P03_04,turn off tap,09:04.2,09:05.3,32655,32715,turn-off,15,tap,3,['tap'],[3],,,,,,,,
6517,P03,P03_04,dry hands,09:06.4,09:10.1,32786,33006,dry,11,hand,12,['hand'],[12],,,,,,,,
6518,P03,P03_04,get saucepan,09:09.8,09:10.9,32988,33054,get,0,saucepan,1,['saucepan'],[1],"(3,1)",,0,0,-1,-1,left,
6519,P03,P03_04,put saucepan,09:11.2,09:11.7,33070,33100,put,1,saucepan,1,['saucepan'],[1],"(4,1)","(3,1)",0,0,-1,-1,left,
6520,P03,P03_04,turn on hob,09:12.2,09:12.7,33132,33163,turn-on,12,hob,47,['hob'],[47],,,,,,,,
6521,P03,P03_04,get olive oil,09:13.5,09:14.6,33211,33273,get,0,oil:olive,24,['oil:olive'],[24],,,,,,,,
6522,P03,P03_04,open olive oil,09:15.4,09:15.9,33325,33355,open,2,oil:olive,24,['oil:olive'],[24],,,,,,,,
6523,P03,P03_04,pour olive oil,09:15.7,09:16.8,33340,33406,pour,7,oil:olive,24,['oil:olive'],[24],"(4,1)","(4,1)",-1,-1,0,0,right,
6524,P03,P03_04,close olive oil,09:16.8,09:17.6,33406,33455,close,3,oil:olive,24,['oil:olive'],[24],,,,,,,,
6525,P03,P03_04,put olive oil,09:17.8,09:18.5,33469,33508,put,1,oil:olive,24,['oil:olive'],[24],,,,,,,,
6526,P03,P03_04,get kettle,09:19.1,09:19.8,33546,33591,get,0,kettle,38,['kettle'],[38],,,,,,,,
6527,P03,P03_04,fill kettle,09:21.0,09:22.0,33663,33723,fill,24,kettle,38,['kettle'],[38],,,,,,,,
6528,P03,P03_04,put kettle,09:25.4,09:26.7,33921,34000,put,1,kettle,38,['kettle'],[38],,,,,,,,
6529,P03,P03_04,turn on kettle,09:27.3,09:27.9,34037,34075,turn-on,12,kettle,38,['kettle'],[38],,,,,,,,
6530,P03,P03_04,grab measuring cup,09:28.0,09:29.6,34077,34174,grab,0,cup:measuring,23,['cup:measuring'],[23],,,,,,,,
6531,P03,P03_04,open cupboard,09:28.0,09:29.2,34078,34154,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
6532,P03,P03_04,close cupboard,09:29.4,09:30.1,34161,34208,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
6533,P03,P03_04,get stock,09:36.8,09:37.6,34606,34655,get,0,stock,111,['stock'],[111],,,,,,,,
6534,P03,P03_04,put stock,09:37.8,09:39.2,34667,34752,put,1,stock,111,['stock'],[111],,,,,,,,
6535,P03,P03_04,open cupboard,09:40.4,09:40.9,34823,34856,open,2,cupboard,8,['cupboard'],[8],,,,,,,,
6536,P03,P03_04,get almonds,09:45.0,09:50.7,35099,35444,get,0,almond,255,['almond'],[255],,,,,,,,
6537,P03,P03_04,open fridge,09:54.5,09:55.6,35671,35734,open,2,fridge,10,['fridge'],[10],,,,,,,,
6538,P03,P03_04,get garlic paste,09:56.1,09:58.4,35767,35904,get,0,paste:garlic,145,['paste:garlic'],[145],,,,,,,,
6539,P03,P03_04,close fridge,09:58.5,09:59.3,35912,35957,close,3,fridge,10,['fridge'],[10],,,,,,,,
6540,P03,P03_04,get stock cubes,10:02.7,10:03.2,36164,36194,get,0,cube:stock,111,['cube:stock'],[111],,,,,,,,
6541,P03,P03_04,close cupboard,10:03.6,10:05.0,36216,36300,close,3,cupboard,8,['cupboard'],[8],,,,,,,,
6542,P03,P03_04,put stock cubes,10:06.1,10:06.9,36363,36412,put,1,cube:stock,111,['cube:stock'],[111],,,,,,,,
6543,P03,P03_04,put garlic paste,10:08.2,10:09.9,36492,36594,put,1,paste:garlic,145,['paste:garlic'],[145],,,,,,,,
6544,P03,P03_04,put almonds,10:09.8,10:12.3,36589,36739,put,1,almond,255,['almond'],[255],,,,,,,,
6545,P03,P03_04,get stock cubes,10:12.4,10:13.7,36745,36820,get,0,cube:stock,111,['cube:stock'],[111],,,,,,,,
6546,P03,P03_04,open stock cubes,10:14.6,10:17.2,36877,37033,open,2,cube:stock,111,['cube:stock'],[111],,,,,,,,
6547,P03,P03_04,take a stock cube,10:17.6,10:19.8,37054,37191,take,0,cube:stock,111,['cube:stock'],[111],,,,,,,,
6548,P03,P03_04,close stock cubes,10:24.4,10:26.7,37462,37599,close,3,cube:stock,111,['cube:stock'],[111],,,,,,,,
6549,P03,P03_04,put stock cubes,10:27.1,10:27.9,37623,37674,put,1,cube:stock,111,['cube:stock'],[111],,,,,,,,
6550,P03,P03_04,open stock cube,10:28.1,10:43.6,37686,38616,open,2,cube:stock,111,['cube:stock'],[111],,,,,,,,
6551,P03,P03_04,put wrapper in bin,10:43.4,10:44.9,38601,38694,put,1,wrapper,77,"['wrapper', 'bin']","[77, 25]",,,,,,,,
6552,P03,P03_04,crumble stock cube,10:45.5,10:53.9,38728,39231,crumble,30,cube:stock,111,['cube:stock'],[111],"(2,1)",,0,0,0,0,both,
6553,P03,P03_04,open drawer,10:54.2,10:55.4,39252,39324,open,2,drawer,9,['drawer'],[9],,,,,,,,
6554,P03,P03_04,get spoon,10:55.6,10:57.4,39333,39442,get,0,spoon,7,['spoon'],[7],,,,,,,,
6555,P03,P03_04,close drawer,10:57.2,10:58.1,39433,39487,close,3,drawer,9,['drawer'],[9],,,,,,,,
6556,P03,P03_04,open drawer,10:59.2,11:00.0,39552,39597,open,2,drawer,9,['drawer'],[9],,,,,,,,
6557,P03,P03_04,get bag,11:00.1,11:07.3,39607,40038,get,0,bag,20,['bag'],[20],,,,,,,,
6558,P03,P03_04,close drawer,11:07.7,11:08.2,40060,40090,close,3,drawer,9,['drawer'],[9],,,,,,,,
6559,P03,P03_04,put onion in bin,11:08.3,11:09.4,40096,40161,put,1,onion,13,"['onion', 'bin']","[13, 25]",,,,,,,,
6560,P03,P03_04,open bag,11:09.9,11:11.7,40194,40299,open,2,bag,20,['bag'],[20],,,,,,,,
6561,P03,P03_04,put chicken in food bag,11:10.9,11:21.3,40251,40877,put,1,chicken,62,"['chicken', 'bag:food']","[62, 20]",,,,,,,,
6562,P03,P03_04,take chicken out of food bag,11:26.2,11:30.7,41173,41444,take,0,chicken,62,"['chicken', 'bag:food']","[62, 20]",,,,,,,,
6563,P03,P03_04,take chicken,11:31.8,11:37.5,41508,41847,take,0,chicken,62,['chicken'],[62],,,,,,,,
6564,P03,P03_04,cut chicken,11:37.7,11:47.2,41865,42434,cut,5,chicken,62,['chicken'],[62],"(3,1)",,-1,-1,0,0,right,
6565,P03,P03_04,dice chicken,11:50.0,11:59.4,42601,43161,dice,5,chicken,62,['chicken'],[62],"(3,1)",,-1,-1,0,0,right,
6566,P03,P03_04,take onions,11:59.5,12:00.8,43167,43250,take,0,onion,13,['onion'],[13],,,,,,,,
6567,P03,P03_04,put onions in saucepan,12:01.2,12:03.4,43272,43402,put,1,onion,13,"['onion', 'saucepan']","[13, 1]",,,,,,,,
6568,P03,P03_04,put bowl,12:04.0,12:05.1,43441,43506,put,1,bowl,6,['bowl'],[6],,,,,,,,
6569,P03,P03_04,take chicken,12:07.2,12:09.0,43632,43741,take,0,chicken,62,['chicken'],[62],,,,,,,,
6570,P03,P03_04,slice chicken,12:10.0,12:17.9,43798,44271,slice,5,chicken,62,['chicken'],[62],"(3,1)",,-1,-1,0,0,right,
6571,P03,P03_04,dice chicken,12:11.0,12:29.4,43860,44963,dice,5,chicken,62,['chicken'],[62],"(3,1)",,-1,-1,0,0,right,
6572,P03,P03_04,pour kettle into stock,12:31.7,12:35.3,45099,45316,pour,7,kettle,38,"['kettle', 'stock']","[38, 111]",,,,,,,,
6573,P03,P03_04,put kettle,12:37.2,12:38.2,45434,45493,put,1,kettle,38,['kettle'],[38],,,,,,,,
6574,P03,P03_04,stir stock,12:39.5,12:42.5,45569,45751,stir,6,stock,111,['stock'],[111],,,,,,,,
6575,P03,P03_04,turn on tap,12:46.6,12:47.2,45997,46033,turn-on,12,tap,3,['tap'],[3],,,,,,,,
6576,P03,P03_04,stir stock,12:47.8,12:55.6,46069,46536,stir,6,stock,111,['stock'],[111],,,,,,,,
6577,P03,P03_04,wash hands,12:56.2,12:59.4,46570,46765,wash,4,hand,12,['hand'],[12],,,,,,,,
6578,P03,P03_04,shake pan,13:04.1,13:05.7,47044,47144,shake,14,pan,1,['pan'],[1],,,,,,,,
6579,P03,P03_04,grab soap,13:06.5,13:07.6,47187,47257,grab,0,soap,98,['soap'],[98],,,,,,,,
6580,P03,P03_04,turn off tap,13:13.6,13:15.0,47615,47697,turn-off,15,tap,3,['tap'],[3],,,,,,,,
6581,P03,P03_04,dry hands,13:15.0,13:16.3,47698,47778,dry,11,hand,12,['hand'],[12],,,,,,,,
6582,P03,P03_04,open drawer,13:16.4,13:17.7,47784,47862,open,2,drawer,9,['drawer'],[9],,,,,,,,
6583,P03,P03_04,grab spatula,13:17.8,13:19.5,47868,47968,grab,0,spatula,22,['spatula'],[22],,,,,,,,
6584,P03,P03_04,close drawer,13:19.4,13:19.9,47961,47991,close,3,drawer,9,['drawer'],[9],,,,,,,,
6585,P03,P03_04,stir,13:21.7,13:31.4,48102,48685,stir,6,drawer,9,['drawer'],[9],"(4,1)",,-1,-1,0,0,right,
6586,P03,P03_04,put plastic on side,13:33.6,13:36.6,48813,48996,put,1,plastic,77,"['plastic', 'side']","[77, 78]",,,,,,,,
6587,P03,P03_04,put bag in bin,13:35.1,13:38.2,48906,49095,put,1,bag,20,"['bag', 'bin']","[20, 25]",,,,,,,,
6588,P03,P03_04,open drawer,13:43.7,13:44.5,49421,49468,open,2,drawer,9,['drawer'],[9],,,,,,,,
6589,P03,P03_04,get spoon,13:45.0,13:45.5,49497,49527,get,0,spoon,7,['spoon'],[7],,,,,,,,
6590,P03,P03_04,get can opener,13:46.8,13:48.1,49608,49683,get,0,opener:can,203,['opener:can'],[203],,,,,,,,
6591,P03,P03_04,open can,13:47.0,14:06.7,49620,50805,open,2,can,87,['can'],[87],"(4,1)",,-1,-1,0,0,right,
6592,P03,P03_04,put can on side,14:06.8,14:08.6,50811,50913,put-on,1,side,78,['side'],[78],,,,,,,,
6593,P03,P03_04,stir onions,14:09.8,14:17.6,50989,51458,stir,6,onion,13,['onion'],[13],"(4,1)","(4,1)",-1,-1,0,0,right,
6594,P03,P03_04,open drawer,14:19.8,14:20.7,51590,51644,open,2,drawer,9,['drawer'],[9],,,,,,,,
6595,P03,P03_04,close drawer,14:21.7,14:22.7,51705,51765,close,3,drawer,9,['drawer'],[9],,,,,,,,
