ID,sequence_long,start_positions,coordinates
P04_109,"['knife', 'bag:carrot', 'jug:measuring', 'carrot', 'slice:carrot', 'bit:carrot', 'piece:carrot', 'cucumber', 'handful:carrot', 'piece:cucumber', 'bit:cucumber', 'lid:steamer', 'vinegar:rice', 'sugar', 'clip', 'bag:sugar', 'foil', 'teaspoon', 'broccoli', 'pan', 'sponge', 'liquid:washing:up', 'towel:tea', 'starter', 'yoghurt', 'sauce:spicy:bean', 'oil:sesame', 'floret:broccoli', 'plastic', 'chunk:carrot', 'tofu', 'lid:rice:cooker', 'dough', 'roll:kitchen', 'ramekin', 'packet', 'peanut', 'packet:peanut', 'band:rubber', 'ramekin:peanut', 'packet:coriander', 'coriander', 'stalk:coriander', 'piece:coriander', 'block:tofu', 'piece:tofu', 'bag:coriander', 'spatula']","{'knife': [], 'bag:carrot': [], 'jug:measuring': [], 'carrot': [], 'slice:carrot': [], 'bit:carrot': [], 'piece:carrot': [], 'cucumber': [], 'handful:carrot': [], 'piece:cucumber': [], 'bit:cucumber': [], 'lid:steamer': [], 'vinegar:rice': [], 'sugar': [], 'clip': [], 'bag:sugar': [], 'foil': [], 'teaspoon': [], 'broccoli': [], 'pan': [], 'sponge': [], 'liquid:washing:up': [], 'towel:tea': [], 'starter': [], 'yoghurt': [], 'sauce:spicy:bean': [], 'oil:sesame': [], 'floret:broccoli': [2, 1, 2], 'plastic': [], 'chunk:carrot': [], 'tofu': [], 'lid:rice:cooker': [], 'dough': [], 'roll:kitchen': [], 'ramekin': [], 'packet': [], 'peanut': [], 'packet:peanut': [], 'band:rubber': [], 'ramekin:peanut': [], 'packet:coriander': [], 'coriander': [], 'stalk:coriander': [], 'piece:coriander': [], 'block:tofu': [], 'piece:tofu': [], 'bag:coriander': [], 'spatula': []}","{'knife': [], 'bag:carrot': [], 'jug:measuring': [], 'carrot': [], 'slice:carrot': [], 'bit:carrot': [], 'piece:carrot': [], 'cucumber': [], 'handful:carrot': [], 'piece:cucumber': [], 'bit:cucumber': [], 'lid:steamer': [], 'vinegar:rice': [], 'sugar': [], 'clip': [], 'bag:sugar': [], 'foil': [], 'teaspoon': [], 'broccoli': [], 'pan': [], 'sponge': [], 'liquid:washing:up': [], 'towel:tea': [], 'starter': [], 'yoghurt': [], 'sauce:spicy:bean': [], 'oil:sesame': [], 'floret:broccoli': [2, 1, 2], 'plastic': [], 'chunk:carrot': [], 'tofu': [], 'lid:rice:cooker': [], 'dough': [], 'roll:kitchen': [], 'ramekin': [], 'packet': [], 'peanut': [], 'packet:peanut': [], 'band:rubber': [], 'ramekin:peanut': [], 'packet:coriander': [], 'coriander': [], 'stalk:coriander': [], 'piece:coriander': [], 'block:tofu': [], 'piece:tofu': [], 'bag:coriander': [], 'spatula': []}"
P04_110,"['spatula', 'lid', 'lid:rice:cooker', 'dish:oven', 'mug', 'egg', 'gochujang', 'teaspoon', 'oil:sesame', 'sauce:soy', 'sugar', 'vinegar:rice', 'sauce:spicy:bean', 'spoon', 'plate', 'tray:baking', 'dough', 'bun:steamed', 'towel:tea', 'pin:rolling', 'pan', 'piece:tofu', 'piece:broccoli', 'peanut', 'jug:measuring', 'ramekin:peanut', 'ramekin:coriander', 'knife', 'board:chopping', 'sponge', 'packet:coriander', 'bowl', 'kitchen', 'ball:dough', 'roll:kitchen', 'bao']","{'spatula': [], 'lid': [], 'lid:rice:cooker': [], 'dish:oven': [], 'mug': [], 'egg': [], 'gochujang': [], 'teaspoon': [], 'oil:sesame': [], 'sauce:soy': [], 'sugar': [], 'vinegar:rice': [], 'sauce:spicy:bean': [], 'spoon': [], 'plate': [], 'tray:baking': [], 'dough': [2, 1, 2], 'bun:steamed': [], 'towel:tea': [], 'pin:rolling': [], 'pan': [], 'piece:tofu': [], 'piece:broccoli': [], 'peanut': [], 'jug:measuring': [], 'ramekin:peanut': [], 'ramekin:coriander': [], 'knife': [], 'board:chopping': [], 'sponge': [], 'packet:coriander': [], 'bowl': [], 'kitchen': [], 'ball:dough': [], 'roll:kitchen': [], 'bao': []}","{'spatula': [], 'lid': [], 'lid:rice:cooker': [], 'dish:oven': [], 'mug': [], 'egg': [], 'gochujang': [], 'teaspoon': [], 'oil:sesame': [], 'sauce:soy': [], 'sugar': [], 'vinegar:rice': [], 'sauce:spicy:bean': [], 'spoon': [], 'plate': [], 'tray:baking': [], 'dough': [2, 1, 2], 'bun:steamed': [], 'towel:tea': [], 'pin:rolling': [], 'pan': [], 'piece:tofu': [], 'piece:broccoli': [], 'peanut': [], 'jug:measuring': [], 'ramekin:peanut': [], 'ramekin:coriander': [], 'knife': [], 'board:chopping': [], 'sponge': [], 'packet:coriander': [], 'bowl': [], 'kitchen': [], 'ball:dough': [], 'roll:kitchen': [], 'bao': []}"
P04_111,"['spatula', 'lid:rice:cooker', 'knife', 'dish:oven', 'plate', 'scissors', 'belly:pork']","{'spatula': [], 'lid:rice:cooker': [], 'knife': [], 'dish:oven': [2, 1, 1], 'plate': [], 'scissors': [], 'belly:pork': []}","{'spatula': [], 'lid:rice:cooker': [], 'knife': [], 'dish:oven': [2, 1, 1], 'plate': [], 'scissors': [], 'belly:pork': []}"
P04_112,"['plate', 'fork', 'jug:measuring', 'bun:bao', 'tupperware', 'spoon', 'oil:truffle', 'lid:tupperware', 'cutlery', 'piece:tofu', 'towel:tea', 'bowl', 'flour', 'phone', 'ball:flour', 'ball:dough', 'dough', 'box:cling:film', 'roll:cling:film', 'cheese', 'carton:egg', 'puree:tomato', 'mayonnaise', 'film:cling']","{'plate': [], 'fork': [], 'jug:measuring': [], 'bun:bao': [], 'tupperware': [], 'spoon': [], 'oil:truffle': [], 'lid:tupperware': [], 'cutlery': [], 'piece:tofu': [], 'towel:tea': [], 'bowl': [], 'flour': [], 'phone': [], 'ball:flour': [], 'ball:dough': [], 'dough': [], 'box:cling:film': [], 'roll:cling:film': [], 'cheese': [], 'carton:egg': [], 'puree:tomato': [], 'mayonnaise': [], 'film:cling': []}","{'plate': [], 'fork': [], 'jug:measuring': [], 'bun:bao': [], 'tupperware': [], 'spoon': [], 'oil:truffle': [], 'lid:tupperware': [], 'cutlery': [], 'piece:tofu': [], 'towel:tea': [], 'bowl': [], 'flour': [], 'phone': [], 'ball:flour': [], 'ball:dough': [], 'dough': [], 'box:cling:film': [], 'roll:cling:film': [], 'cheese': [], 'carton:egg': [], 'puree:tomato': [], 'mayonnaise': [], 'film:cling': []}"
P04_113,"['tray:baking', 'towel:tea', 'board:chopping', 'spatula', 'knife', 'lid:tupperware', 'pot:tupperware', 'tupperware', 'mug', 'film:cling', 'pan:cast:iron', 'bowl', 'saucepan', 'mug:glass', 'grater:cheese', 'bowl:plate', 'pan:frying', 'spoon:measuring', 'tub:tupperware', 'colander', 'glass', 'tray:cutlery', 'spoon', 'teaspoon', 'press:garlic', 'fork', 'ramekin', 'plate', 'scissors', 'pan', 'bowl:rice:cooker', 'plug', 'lid:rice:cooker', 'pin:rolling', 'packet:tofu', 'rubbish', 'dish:oven', 'chopstick', 'jar:spicy:bean:paste', 'lid:saucepan', 'jar', 'brush', 'liquid:washing:up', 'sauce:soy', 'packet:coriander', 'lid:jar', 'sponge', 'flour', 'bag:flour', 'skin:garlic', 'packet:peanut', 'scraper', 'dustpan', 'kettle', 'sheath', 'glove:oven', 'bowl:dough']","{'tray:baking': [], 'towel:tea': [], 'board:chopping': [], 'spatula': [], 'knife': [], 'lid:tupperware': [], 'pot:tupperware': [], 'tupperware': [], 'mug': [], 'film:cling': [], 'pan:cast:iron': [], 'bowl': [], 'saucepan': [], 'mug:glass': [], 'grater:cheese': [], 'bowl:plate': [], 'pan:frying': [], 'spoon:measuring': [], 'tub:tupperware': [], 'colander': [], 'glass': [], 'tray:cutlery': [], 'spoon': [], 'teaspoon': [], 'press:garlic': [], 'fork': [], 'ramekin': [], 'plate': [], 'scissors': [], 'pan': [], 'bowl:rice:cooker': [], 'plug': [], 'lid:rice:cooker': [], 'pin:rolling': [], 'packet:tofu': [], 'rubbish': [], 'dish:oven': [], 'chopstick': [], 'jar:spicy:bean:paste': [], 'lid:saucepan': [], 'jar': [], 'brush': [], 'liquid:washing:up': [], 'sauce:soy': [], 'packet:coriander': [], 'lid:jar': [], 'sponge': [], 'flour': [], 'bag:flour': [], 'skin:garlic': [], 'packet:peanut': [], 'scraper': [], 'dustpan': [], 'kettle': [], 'sheath': [], 'glove:oven': [], 'bowl:dough': []}","{'tray:baking': [], 'towel:tea': [], 'board:chopping': [], 'spatula': [], 'knife': [], 'lid:tupperware': [], 'pot:tupperware': [], 'tupperware': [], 'mug': [], 'film:cling': [], 'pan:cast:iron': [], 'bowl': [], 'saucepan': [], 'mug:glass': [], 'grater:cheese': [], 'bowl:plate': [], 'pan:frying': [], 'spoon:measuring': [], 'tub:tupperware': [], 'colander': [], 'glass': [], 'tray:cutlery': [], 'spoon': [], 'teaspoon': [], 'press:garlic': [], 'fork': [], 'ramekin': [], 'plate': [], 'scissors': [], 'pan': [], 'bowl:rice:cooker': [], 'plug': [], 'lid:rice:cooker': [], 'pin:rolling': [], 'packet:tofu': [], 'rubbish': [], 'dish:oven': [], 'chopstick': [], 'jar:spicy:bean:paste': [], 'lid:saucepan': [], 'jar': [], 'brush': [], 'liquid:washing:up': [], 'sauce:soy': [], 'packet:coriander': [], 'lid:jar': [], 'sponge': [], 'flour': [], 'bag:flour': [], 'skin:garlic': [], 'packet:peanut': [], 'scraper': [], 'dustpan': [], 'kettle': [], 'sheath': [], 'glove:oven': [], 'bowl:dough': []}"
P04_115,"['glove:oven', 'tray:baking', 'pan:frying', 'pan:cast:iron', 'knife', 'stick:cocktail', 'saucepan', 'butter', 'lid', 'spoon', 'egg', 'bowl', 'eggshell', 'carton:egg', 'fork', 'bun:bao', 'lid:rice:cooker']","{'glove:oven': [], 'tray:baking': [], 'pan:frying': [], 'pan:cast:iron': [2, 1, 1], 'knife': [], 'stick:cocktail': [], 'saucepan': [], 'butter': [], 'lid': [], 'spoon': [], 'egg': [], 'bowl': [], 'eggshell': [], 'carton:egg': [], 'fork': [], 'bun:bao': [2, 1, 2], 'lid:rice:cooker': []}","{'glove:oven': [], 'tray:baking': [], 'pan:frying': [], 'pan:cast:iron': [2, 1, 1], 'knife': [], 'stick:cocktail': [], 'saucepan': [], 'butter': [], 'lid': [], 'spoon': [], 'egg': [], 'bowl': [], 'eggshell': [], 'carton:egg': [], 'fork': [], 'bun:bao': [2, 1, 2], 'lid:rice:cooker': []}"
P04_116,"['bowl', 'spatula', 'fork', 'yoghurt:greek', 'teaspoon', 'cutlery', 'pepper', 'salt', 'iron:cast', 'loaf:bread', 'towel:tea', 'pan', 'butter', 'tray:baking', 'bowl:plate', 'yoghurt', 'lid', 'spoon', 'glove:oven', 'pan:cast:iron', 'board:chopping', 'knife', 'bread', 'knife:bread', 'end:bread', 'slice:bread']","{'bowl': [], 'spatula': [], 'fork': [], 'yoghurt:greek': [], 'teaspoon': [], 'cutlery': [], 'pepper': [], 'salt': [], 'iron:cast': [], 'loaf:bread': [2, 1, 2], 'towel:tea': [], 'pan': [2, 1, 2], 'butter': [], 'tray:baking': [], 'bowl:plate': [], 'yoghurt': [], 'lid': [], 'spoon': [], 'glove:oven': [], 'pan:cast:iron': [], 'board:chopping': [], 'knife': [], 'bread': [], 'knife:bread': [], 'end:bread': [], 'slice:bread': []}","{'bowl': [2, 1, 2], 'spatula': [], 'fork': [], 'yoghurt:greek': [], 'teaspoon': [], 'cutlery': [], 'pepper': [], 'salt': [], 'iron:cast': [], 'loaf:bread': [2, 1, 1], 'towel:tea': [], 'pan': [2, 1, 2], 'butter': [], 'tray:baking': [], 'bowl:plate': [], 'yoghurt': [], 'lid': [], 'spoon': [], 'glove:oven': [], 'pan:cast:iron': [], 'board:chopping': [], 'knife': [], 'bread': [], 'knife:bread': [], 'end:bread': [], 'slice:bread': []}"
P04_117,"['towel:tea', 'knife:bread', 'slice:bread', 'knife', 'spatula', 'lid:yoghurt', 'pepper', 'lid', 'loaf:bread', 'bread', 'tub:butter', 'saucepan']","{'towel:tea': [], 'knife:bread': [], 'slice:bread': [], 'knife': [], 'spatula': [], 'lid:yoghurt': [], 'pepper': [], 'lid': [], 'loaf:bread': [], 'bread': [], 'tub:butter': [], 'saucepan': [2, 1, 2]}","{'towel:tea': [], 'knife:bread': [], 'slice:bread': [], 'knife': [], 'spatula': [], 'lid:yoghurt': [], 'pepper': [], 'lid': [], 'loaf:bread': [], 'bread': [], 'tub:butter': [], 'saucepan': [2, 1, 2]}"
P04_119,"['glove:rubber', 'towel:tea', 'instruction', 'knife', 'tablet:rennet', 'chunk:rennet:tablet', 'crumb:rennet:tablet', 'tablet', 'kettle', 'ramekin', 'lead:kettle', 'plug:kettle', 'bottle:milk', 'sausage:corn', 'sausage:quorn:cocktail', 'bite', 'spoon', 'packet', 'portion:rennet:tablet', 'bag', 'spoon:measuring', 'saucepan', 'pan', 'wok', 'lid:milk:bottle', 'spatula', 'teaspoon', 'thermometer', 'lid']","{'glove:rubber': [], 'towel:tea': [], 'instruction': [], 'knife': [], 'tablet:rennet': [], 'chunk:rennet:tablet': [], 'crumb:rennet:tablet': [], 'tablet': [], 'kettle': [], 'ramekin': [], 'lead:kettle': [], 'plug:kettle': [], 'bottle:milk': [], 'sausage:corn': [], 'sausage:quorn:cocktail': [], 'bite': [], 'spoon': [], 'packet': [], 'portion:rennet:tablet': [], 'bag': [], 'spoon:measuring': [], 'saucepan': [], 'pan': [], 'wok': [], 'lid:milk:bottle': [], 'spatula': [], 'teaspoon': [], 'thermometer': [], 'lid': []}","{'glove:rubber': [], 'towel:tea': [], 'instruction': [], 'knife': [], 'tablet:rennet': [], 'chunk:rennet:tablet': [], 'crumb:rennet:tablet': [], 'tablet': [], 'kettle': [], 'ramekin': [], 'lead:kettle': [], 'plug:kettle': [], 'bottle:milk': [], 'sausage:corn': [], 'sausage:quorn:cocktail': [], 'bite': [], 'spoon': [], 'packet': [], 'portion:rennet:tablet': [], 'bag': [], 'spoon:measuring': [], 'saucepan': [], 'pan': [], 'wok': [], 'lid:milk:bottle': [], 'spatula': [], 'teaspoon': [], 'thermometer': [], 'lid': []}"
P04_120,"['spatula', 'spoon', 'teaspoon', 'thermometer', 'bottle:water', 'instruction', 'packet:tablet', 'bottle:milk', 'top', 'towel:tea', 'knife', 'bowl:plate', 'ramekin', 'sponge', 'saucepan', 'lid:saucepan', 'bowl', 'pin:rolling', 'plate', 'tray:baking', 'board:chopping', 'scourer', 'pan', 'dish:oven', 'holder:cutlery', 'fork', 'brush:pastry', 'tablespoon', 'chopstick', 'scissors', 'spoon:measuring']","{'spatula': [], 'spoon': [], 'teaspoon': [], 'thermometer': [], 'bottle:water': [], 'instruction': [], 'packet:tablet': [], 'bottle:milk': [], 'top': [], 'towel:tea': [], 'knife': [], 'bowl:plate': [], 'ramekin': [], 'sponge': [], 'saucepan': [], 'lid:saucepan': [], 'bowl': [], 'pin:rolling': [], 'plate': [], 'tray:baking': [], 'board:chopping': [], 'scourer': [], 'pan': [], 'dish:oven': [], 'holder:cutlery': [], 'fork': [], 'brush:pastry': [], 'tablespoon': [], 'chopstick': [], 'scissors': [], 'spoon:measuring': []}","{'spatula': [2, 1, 2], 'spoon': [], 'teaspoon': [], 'thermometer': [], 'bottle:water': [], 'instruction': [], 'packet:tablet': [], 'bottle:milk': [], 'top': [], 'towel:tea': [], 'knife': [], 'bowl:plate': [], 'ramekin': [], 'sponge': [], 'saucepan': [], 'lid:saucepan': [], 'bowl': [], 'pin:rolling': [], 'plate': [], 'tray:baking': [], 'board:chopping': [], 'scourer': [], 'pan': [], 'dish:oven': [], 'holder:cutlery': [], 'fork': [], 'brush:pastry': [], 'tablespoon': [], 'chopstick': [], 'scissors': [], 'spoon:measuring': []}"
P04_121,"['spatula', 'knife', 'curd:cheese', 'thermometer', 'ramekin', 'tablespoon', 'tray:baking', 'board:chopping', 'sponge', 'liquid:washing:up', 'towel:tea', 'bowl:rice:cooker', 'steamer', 'tray:steamer', 'lid:rice:cooker', 'spoon', 'box', 'cooker:rice', 'kettle', 'stand:kettle', 'bottle:milk', 'bottle:oil', 'bottle:water', 'mug', 'bowl', 'scourer', 'water', 'spatula:sieve', 'glove:rubber', 'case:thermometer', 'cheese', 'instruction', 'bag', 'booklet:instruction', 'teaspoon', 'ball:mozzarella', 'tray:ice:cube', 'cube:ice', 'pan']","{'spatula': [], 'knife': [], 'curd:cheese': [], 'thermometer': [], 'ramekin': [], 'tablespoon': [], 'tray:baking': [], 'board:chopping': [], 'sponge': [], 'liquid:washing:up': [], 'towel:tea': [], 'bowl:rice:cooker': [], 'steamer': [], 'tray:steamer': [], 'lid:rice:cooker': [], 'spoon': [], 'box': [], 'cooker:rice': [], 'kettle': [], 'stand:kettle': [], 'bottle:milk': [], 'bottle:oil': [], 'bottle:water': [], 'mug': [], 'bowl': [], 'scourer': [], 'water': [], 'spatula:sieve': [], 'glove:rubber': [], 'case:thermometer': [], 'cheese': [], 'instruction': [], 'bag': [], 'booklet:instruction': [], 'teaspoon': [], 'ball:mozzarella': [], 'tray:ice:cube': [], 'cube:ice': [], 'pan': []}","{'spatula': [], 'knife': [], 'curd:cheese': [], 'thermometer': [], 'ramekin': [], 'tablespoon': [], 'tray:baking': [], 'board:chopping': [], 'sponge': [], 'liquid:washing:up': [], 'towel:tea': [], 'bowl:rice:cooker': [], 'steamer': [], 'tray:steamer': [], 'lid:rice:cooker': [], 'spoon': [], 'box': [], 'cooker:rice': [], 'kettle': [], 'stand:kettle': [], 'bottle:milk': [], 'bottle:oil': [], 'bottle:water': [], 'mug': [], 'bowl': [], 'scourer': [], 'water': [], 'spatula:sieve': [], 'glove:rubber': [], 'case:thermometer': [], 'cheese': [], 'instruction': [], 'bag': [], 'booklet:instruction': [], 'teaspoon': [], 'ball:mozzarella': [], 'tray:ice:cube': [], 'cube:ice': [], 'pan': []}"
P06_101,"['pepper', 'onion', 'vegetable', 'potato:sweet', 'garlic', 'board:chopping', 'knife', 'sharpener:knife', 'spoon', 'pan', 'lid', 'oil:olive', 'sticker', 'chilli', 'bag', 'rubbish', 'salt', 'tomato:chopped', 'colander', 'can', 'opener:can', 'chocolate', 'spice', 'stock', 'cube:stock', 'tray', 'packet', 'oil', 'liquid:washing:up', 'recycling', 'bin:food:recycling', 'bin:recycling', 'pot', 'towel']","{'pepper': [], 'onion': [], 'vegetable': [], 'potato:sweet': [], 'garlic': [0, 1, 2], 'board:chopping': [], 'knife': [], 'sharpener:knife': [], 'spoon': [], 'pan': [], 'lid': [], 'oil:olive': [], 'sticker': [], 'chilli': [], 'bag': [], 'rubbish': [], 'salt': [5, 1, 2], 'tomato:chopped': [], 'colander': [], 'can': [5, 1, 2], 'opener:can': [], 'chocolate': [5, 1, 2], 'spice': [], 'stock': [], 'cube:stock': [], 'tray': [], 'packet': [], 'oil': [], 'liquid:washing:up': [], 'recycling': [], 'bin:food:recycling': [], 'bin:recycling': [], 'pot': [], 'towel': []}","{'pepper': [], 'onion': [], 'vegetable': [], 'potato:sweet': [], 'garlic': [0, 1, 2], 'board:chopping': [], 'knife': [], 'sharpener:knife': [], 'spoon': [], 'pan': [], 'lid': [], 'oil:olive': [], 'sticker': [], 'chilli': [], 'bag': [], 'rubbish': [], 'salt': [5, 1, 2], 'tomato:chopped': [], 'colander': [], 'can': [5, 1, 2], 'opener:can': [], 'chocolate': [5, 1, 2], 'spice': [], 'stock': [], 'cube:stock': [], 'tray': [], 'packet': [], 'oil': [], 'liquid:washing:up': [], 'recycling': [], 'bin:food:recycling': [], 'bin:recycling': [], 'pot': [], 'towel': []}"
P06_102,"['bowl', 'sieve', 'spoon', 'lid', 'flour', 'scale', 'salt', 'yeast', 'knife', 'kettle', 'dough', 'sponge', 'rubbish', 'towel', 'film:cling']","{'bowl': [], 'sieve': [], 'spoon': [], 'lid': [], 'flour': [], 'scale': [], 'salt': [], 'yeast': [], 'knife': [], 'kettle': [], 'dough': [], 'sponge': [], 'rubbish': [], 'towel': [], 'film:cling': []}","{'bowl': [], 'sieve': [], 'spoon': [], 'lid': [], 'flour': [5, 1, 3], 'scale': [], 'salt': [], 'yeast': [], 'knife': [], 'kettle': [], 'dough': [], 'sponge': [], 'rubbish': [], 'towel': [], 'film:cling': []}"
P06_103,"['glove:oven', 'spoon', 'lid', 'pan', 'board:chopping', 'fork', 'potato:sweet', 'kettle', 'rice', 'colander', 'sieve', 'bowl', 'cup', 'glass', 'salt', 'cutlery', 'plate', 'knife', 'wrap', 'cheese']","{'glove:oven': [], 'spoon': [], 'lid': [], 'pan': [], 'board:chopping': [], 'fork': [], 'potato:sweet': [], 'kettle': [], 'rice': [], 'colander': [], 'sieve': [], 'bowl': [], 'cup': [], 'glass': [], 'salt': [], 'cutlery': [], 'plate': [], 'knife': [], 'wrap': [], 'cheese': []}","{'glove:oven': [], 'spoon': [], 'lid': [], 'pan': [5, 1, 1], 'board:chopping': [], 'fork': [], 'potato:sweet': [], 'kettle': [], 'rice': [], 'colander': [], 'sieve': [], 'bowl': [], 'cup': [], 'glass': [], 'salt': [], 'cutlery': [], 'plate': [], 'knife': [], 'wrap': [], 'cheese': []}"
P06_104,"['spoon', 'lid', 'rice', 'glove:oven', 'pan', 'fork', 'potato:sweet', 'kettle']","{'spoon': [], 'lid': [], 'rice': [], 'glove:oven': [], 'pan': [], 'fork': [], 'potato:sweet': [], 'kettle': []}","{'spoon': [], 'lid': [], 'rice': [], 'glove:oven': [], 'pan': [5, 1, 1], 'fork': [], 'potato:sweet': [], 'kettle': []}"
P06_105,"['glove:oven', 'lid', 'spoon', 'cheese', 'cup']","{'glove:oven': [], 'lid': [], 'spoon': [], 'cheese': [], 'cup': []}","{'glove:oven': [], 'lid': [], 'spoon': [], 'cheese': [], 'cup': []}"
P06_106,"['fork', 'lid', 'pan', 'kettle', 'colander', 'spoon', 'plate', 'cheese', 'grater:cheese', 'packet:cheese']","{'fork': [], 'lid': [], 'pan': [], 'kettle': [], 'colander': [], 'spoon': [], 'plate': [], 'cheese': [], 'grater:cheese': [], 'packet:cheese': []}","{'fork': [], 'lid': [], 'pan': [], 'kettle': [], 'colander': [], 'spoon': [], 'plate': [], 'cheese': [], 'grater:cheese': [], 'packet:cheese': []}"
P06_108,"['olive', 'pan', 'dough', 'flour', 'spoon', 'tomato:chopped', 'mozzarella', 'knife', 'lid', 'tuna', 'opener:can', 'fork', 'towel', 'foil:silver', 'phone', 'packet', 'bowl', 'liquid:washing:up']","{'olive': [], 'pan': [], 'dough': [], 'flour': [], 'spoon': [], 'tomato:chopped': [3, 1, 2], 'mozzarella': [], 'knife': [], 'lid': [], 'tuna': [], 'opener:can': [], 'fork': [], 'towel': [], 'foil:silver': [], 'phone': [], 'packet': [], 'bowl': [], 'liquid:washing:up': []}","{'olive': [], 'pan': [], 'dough': [], 'flour': [], 'spoon': [], 'tomato:chopped': [5, 1, 2], 'mozzarella': [], 'knife': [], 'lid': [], 'tuna': [], 'opener:can': [], 'fork': [], 'towel': [], 'foil:silver': [], 'phone': [], 'packet': [], 'bowl': [], 'liquid:washing:up': []}"
P06_110,"['pizza', 'board:chopping', 'pan', 'knife']","{'pizza': [5, 1, 1], 'board:chopping': [], 'pan': [], 'knife': []}","{'pizza': [5, 1, 1], 'board:chopping': [], 'pan': [], 'knife': []}"
P07_101,"['pan', 'bag', 'ham', 'maker:coffee', 'roll:paper', 'board:cutting', 'cheese', 'knife', 'omelette', 'spoon', 'chorizo', 'plate', 'tray']","{'pan': [], 'bag': [], 'ham': [4, 1, 2], 'maker:coffee': [], 'roll:paper': [], 'board:cutting': [], 'cheese': [], 'knife': [], 'omelette': [4, 1, 2], 'spoon': [], 'chorizo': [4, 1, 2], 'plate': [], 'tray': []}","{'pan': [4, 1, 1], 'bag': [], 'ham': [4, 1, 2], 'maker:coffee': [], 'roll:paper': [], 'board:cutting': [], 'cheese': [], 'knife': [], 'omelette': [4, 1, 2], 'spoon': [], 'chorizo': [4, 1, 2], 'plate': [], 'tray': []}"
P07_103,"['plate', 'towel', 'glove', 'rack:oven', 'tray']","{'plate': [], 'towel': [], 'glove': [], 'rack:oven': [], 'tray': [4, 1, 2]}","{'plate': [], 'towel': [], 'glove': [], 'rack:oven': [], 'tray': [4, 1, 1]}"
P07_113,"['cup', 'jug', 'glass', 'pot', 'container', 'cloth', 'bag', 'grain:rice', 'onion', 'board:cutting', 'soap', 'jar', 'garlic', 'knife', 'spoon', 'lid', 'plug', 'container:salt', 'peel', 'colander']","{'cup': [], 'jug': [], 'glass': [], 'pot': [], 'container': [], 'cloth': [], 'bag': [], 'grain:rice': [], 'onion': [], 'board:cutting': [], 'soap': [], 'jar': [], 'garlic': [], 'knife': [], 'spoon': [], 'lid': [], 'plug': [], 'container:salt': [], 'peel': [], 'colander': []}","{'cup': [], 'jug': [], 'glass': [], 'pot': [], 'container': [], 'cloth': [], 'bag': [], 'grain:rice': [], 'onion': [], 'board:cutting': [], 'soap': [], 'jar': [], 'garlic': [2, 1, 3], 'knife': [], 'spoon': [], 'lid': [], 'plug': [], 'container:salt': [], 'peel': [], 'colander': []}"
P07_114,"['lid', 'vegetable', 'pot', 'jug', 'bag', 'colander', 'broccoli']","{'lid': [], 'vegetable': [], 'pot': [4, 1, 2], 'jug': [], 'bag': [], 'colander': [], 'broccoli': []}","{'lid': [], 'vegetable': [4, 1, 2], 'pot': [4, 1, 2], 'jug': [], 'bag': [], 'colander': [], 'broccoli': []}"
P07_115,"['spoon', 'sponge', 'bottle', 'lid', 'knife', 'board:cutting', 'lighter', 'roll:paper', 'jug', 'pot', 'colander', 'glove', 'cloth', 'container', 'fork']","{'spoon': [], 'sponge': [], 'bottle': [], 'lid': [], 'knife': [], 'board:cutting': [], 'lighter': [], 'roll:paper': [], 'jug': [], 'pot': [], 'colander': [], 'glove': [], 'cloth': [], 'container': [], 'fork': []}","{'spoon': [], 'sponge': [], 'bottle': [], 'lid': [], 'knife': [], 'board:cutting': [], 'lighter': [], 'roll:paper': [], 'jug': [], 'pot': [], 'colander': [], 'glove': [], 'cloth': [], 'container': [], 'fork': []}"
P07_116,"['fork', 'lid', 'pot', 'plate', 'container', 'spoon', 'knife']","{'fork': [], 'lid': [], 'pot': [], 'plate': [], 'container': [], 'spoon': [], 'knife': []}","{'fork': [], 'lid': [], 'pot': [], 'plate': [], 'container': [], 'spoon': [], 'knife': []}"
P09_103,"['bottle:oil', 'condiment', 'breast:chicken', 'chicken', 'knife', 'spoon', 'trash', 'powder:garlic', 'pepper']","{'bottle:oil': [3, 1, 1], 'condiment': [], 'breast:chicken': [], 'chicken': [], 'knife': [], 'spoon': [], 'trash': [], 'powder:garlic': [], 'pepper': []}","{'bottle:oil': [3, 1, 2], 'condiment': [], 'breast:chicken': [], 'chicken': [], 'knife': [], 'spoon': [], 'trash': [], 'powder:garlic': [], 'pepper': []}"
P09_104,"['jug', 'pan', 'sponge', 'towel', 'banana', 'strawberry', 'chorizo', 'honey', 'milk', 'milk:soy', 'plate', 'cheese', 'bottle:oil', 'egg', 'shell']","{'jug': [], 'pan': [], 'sponge': [], 'towel': [], 'banana': [], 'strawberry': [], 'chorizo': [], 'honey': [], 'milk': [], 'milk:soy': [], 'plate': [], 'cheese': [], 'bottle:oil': [], 'egg': [3, 1, 2], 'shell': [3, 1, 1]}","{'jug': [], 'pan': [], 'sponge': [], 'towel': [], 'banana': [], 'strawberry': [], 'chorizo': [], 'honey': [], 'milk': [], 'milk:soy': [], 'plate': [], 'cheese': [], 'bottle:oil': [], 'egg': [3, 1, 2], 'shell': [3, 1, 2]}"
